name,popularity
pipeline-restful-api,423
bitbucket-kubernetes-credentials,419
windows-cloud,418
htmlresource,417
matlab,413
saltstack,413
conjur-simple-integration,412
jabber,412
phabricator-plugin,412
prereq-buildstep,412
URLSCM,411
custom-build-properties,411
diskcheck,411
vs-code-metrics,411
groovy-events-listener-plugin,408
extreme-notification,406
tracking-git,405
selenium-builder,403
backup-interrupt-plugin,402
terminal,400
tmpcleaner,397
wxwork-notification,397
svn-partial-release-mgr,395
uipath-automation-package,392
job-log-logger-plugin,390
cctray-xml,389
snsnotify,389
release-helper,388
disable-failed-job,387
netsparker-cloud-scan,386
extended-security-settings,385
artifactory-client-api,383
opsgenie,382
aws-beanstalk-publisher-plugin,381
started-by-envvar,378
job-node-stalker,377
queue-cleanup,376
pretested-integration,374
aws-codecommit-trigger,372
countjobs-viewstabbar,372
template-workflows,372
ws-ws-replacement,372
remote-terminal-access,370
rest-list-parameter,369
build-steps-from-json,367
mac,367
cisco-spark-notifier,365
distfork,364
fxcop-runner,364
websphere-deployer,364
covcomplplot,363
github-scm-filter-aged-refs,363
vncviewer,361
azure-artifact-manager,360
StashBranchParameter,357
dotnet-as-script,357
view-cloner,357
syslog-logger,356
Matrix-sorter-plugin,354
selected-tests-executor,354
appscan,352
ec2-deployment-dashboard,352
git-prebuildmerge-trait,352
archived-artifact-url-viewer,351
coverity,351
cocoapods-integration,349
pwauth,348
cppncss,345
variables-replace-plugin,345
clang-scanbuild,343
harbor,342
vsts-cd,338
deployment-notification,336
javancss,335
jobrevision,335
job-fan-in,334
post-completed-build-result,333
dry-run,330
serenity,330
memory-map,327
deployed-on-column,325
viewVC,323
github-app-kubernetes-credentials,322
websocket,321
azure-container-registry-tasks,320
matrixtieparent,320
seed,319
accelerated-build-now-plugin,317
artifactory-artifact-manager,314
github-scm-filter-jira-validator,311
service-now,311
autograding,308
custom-markup-formatter,308
seleniumrc-plugin,308
lighthouse-report,306
pipeline-gitstatuswrapper,306
stepcounter,306
wildfly-deployer,306
flow,304
jobtype-column,303
sounds,302
macstadium-orka,301
plasticscm-plugin,301
qualys-was,298
linenumbers,296
metrics-datadog,296
svncompat13,296
pitmutation,294
ranorex-integration,292
regression-report-plugin,292
scm-manager,292
url-auth-sso,291
mq-notifier,289
lambdatest-automation,288
msginject,287
aws-sam,284
describe-with-params,284
vectorcast-coverage,283
short-workspace-path,282
appdynamics-dashboard,281
