Plugin,Repository,URL,Has_JDK17,Has_JDK21,Has_JDK25,Jenkinsfile_URL,Has_Jenkinsfile
Appcircle Testing Distribution Plugin,jenkinsci/appcircle-testing-distribution-plugin,https://github.com/jenkinsci/appcircle-testing-distribution-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/appcircle-testing-distribution-plugin/master/Jenkinsfile,true
Appdome Build 2secure Plugin,jenkinsci/appdome-build-2secure-plugin,https://github.com/jenkinsci/appdome-build-2secure-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/appdome-build-2secure-plugin/main/Jenkinsfile,true
Appdome Validate 2secure Plugin,jenkinsci/appdome-validate-2secure-plugin,https://github.com/jenkinsci/appdome-validate-2secure-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/appdome-validate-2secure-plugin/main/Jenkinsfile,true
Appdynamics Plugin,jenkinsci/appdynamics-plugin,https://github.com/jenkinsci/appdynamics-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/appdynamics-plugin/master/Jenkinsfile,true
Appetize Plugin,jenkinsci/appetize-plugin,https://github.com/jenkinsci/appetize-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/appetize-plugin/master/Jenkinsfile,false
Appknox Scanner Plugin,jenkinsci/appknox-scanner-plugin,https://github.com/jenkinsci/appknox-scanner-plugin,false,true,false,https://raw.githubusercontent.com/jenkinsci/appknox-scanner-plugin/main/Jenkinsfile,true
Applatix Plugin,jenkinsci/applatix-plugin,https://github.com/jenkinsci/applatix-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/applatix-plugin/master/Jenkinsfile,false
Application Director Plugin,jenkinsci/application-director-plugin,https://github.com/jenkinsci/application-director-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/application-director-plugin/master/Jenkinsfile,false
Applitools Eyes Plugin,jenkinsci/applitools-eyes-plugin,https://github.com/jenkinsci/applitools-eyes-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/applitools-eyes-plugin/master/Jenkinsfile,true
Appray Plugin,jenkinsci/appray-plugin,https://github.com/jenkinsci/appray-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/appray-plugin/master/Jenkinsfile,true
Apprenda Plugin,jenkinsci/apprenda-plugin,https://github.com/jenkinsci/apprenda-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/apprenda-plugin/master/Jenkinsfile,true
Appscan Plugin,jenkinsci/appscan-plugin,https://github.com/jenkinsci/appscan-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/appscan-plugin/master/Jenkinsfile,true
Appspider Build Scanner Plugin,jenkinsci/appspider-build-scanner-plugin,https://github.com/jenkinsci/appspider-build-scanner-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/appspider-build-scanner-plugin/master/Jenkinsfile,false
Aqua Microscanner Plugin,jenkinsci/aqua-microscanner-plugin,https://github.com/jenkinsci/aqua-microscanner-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aqua-microscanner-plugin/master/Jenkinsfile,true
Aqua Security Scanner Plugin,jenkinsci/aqua-security-scanner-plugin,https://github.com/jenkinsci/aqua-security-scanner-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aqua-security-scanner-plugin/master/Jenkinsfile,true
Aqua Serverless Plugin,jenkinsci/aqua-serverless-plugin,https://github.com/jenkinsci/aqua-serverless-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aqua-serverless-plugin/master/Jenkinsfile,true
Arachni Scanner Plugin,jenkinsci/arachni-scanner-plugin,https://github.com/jenkinsci/arachni-scanner-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/arachni-scanner-plugin/master/Jenkinsfile,true
Archived Artifact Url Viewer,jenkinsci/archived-artifact-url-viewer,https://github.com/jenkinsci/archived-artifact-url-viewer,false,false,false,https://raw.githubusercontent.com/jenkinsci/archived-artifact-url-viewer/master/Jenkinsfile,false
Arestocats Plugin,jenkinsci/arestocats-plugin,https://github.com/jenkinsci/arestocats-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/arestocats-plugin/master/Jenkinsfile,true
Argus Notifier Plugin,jenkinsci/argus-notifier-plugin,https://github.com/jenkinsci/argus-notifier-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/argus-notifier-plugin/master/Jenkinsfile,true
Aribot Plugin,jenkinsci/aribot-plugin,https://github.com/jenkinsci/aribot-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/aribot-plugin/master/Jenkinsfile,true
Armorcode Release Gate Plugin,jenkinsci/armorcode-release-gate-plugin,https://github.com/jenkinsci/armorcode-release-gate-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/armorcode-release-gate-plugin/main/Jenkinsfile,true
Artifact Diff Plugin,jenkinsci/artifact-diff-plugin,https://github.com/jenkinsci/artifact-diff-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/artifact-diff-plugin/master/Jenkinsfile,true
Artifact Manager S3 Plugin,jenkinsci/artifact-manager-s3-plugin,https://github.com/jenkinsci/artifact-manager-s3-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/artifact-manager-s3-plugin/master/Jenkinsfile,true
Artifact Promotion Plugin,jenkinsci/artifact-promotion-plugin,https://github.com/jenkinsci/artifact-promotion-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/artifact-promotion-plugin/master/Jenkinsfile,true
Artifact Repository Parameter Plugin,jenkinsci/artifact-repository-parameter-plugin,https://github.com/jenkinsci/artifact-repository-parameter-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/artifact-repository-parameter-plugin/master/Jenkinsfile,true
Artifactdeployer Plugin,jenkinsci/artifactdeployer-plugin,https://github.com/jenkinsci/artifactdeployer-plugin,true,true,true,https://raw.githubusercontent.com/jenkinsci/artifactdeployer-plugin/master/Jenkinsfile,true
